date,water_level,tagsn
2018010101,2.2775,4288
2018010101,2.4888,4287
2018010101,2.5459,4285
2018010102,2.398,4285
2018010102,2.3396,4287
2018010102,2.0688,4288
2018010103,1.8592,4288
2018010103,2.1243,4287
2018010103,2.1692,4285
2018010104,2.0032,4285
2018010104,1.9645,4287
2018010104,1.746,4288
2018010105,2.1353,4285
2018010105,2.0886,4287
2018010105,1.8298,4288
2018010106,1.8886,4288
2018010106,2.1422,4287
2018010106,2.1643,4285
2018010107,2.3411,4288
2018010107,2.5844,4287
2018010107,2.6114,4285
2018010108,2.796,4285
2018010108,2.7434,4287
2018010108,2.7379,4288
2018010109,2.8004,4285
2018010109,2.7416,4287
2018010109,2.7237,4288
2018010110,2.6671,4288
2018010110,2.7276,4287
2018010110,2.7816,4285
2018010111,2.5453,4288
2018010111,2.7181,4287
2018010111,2.7982,4285
2018010112,2.2911,4288
2018010112,2.5309,4287
2018010112,2.6143,4285
2018010113,2.2822,4288
2018010113,2.6304,4287
2018010113,2.6773,4285
2018010114,2.4128,4288
2018010114,2.7236,4287
2018010114,2.7485,4285
2018010115,2.5794,4285
2018010115,2.5667,4287
2018010115,2.3859,4288
2018010116,2.2007,4288
2018010116,2.5848,4287
2018010116,2.6162,4285
2018010117,2.2124,4288
2018010117,2.6326,4287
2018010117,2.646,4285
2018010118,2.3585,4285
2018010118,2.3531,4287
2018010118,1.9371,4288
2018010119,1.7574,4288
2018010119,2.228,4287
2018010119,2.2487,4285
2018010120,1.4255,4288
2018010120,1.9421,4287
2018010120,1.9403,4285
2018010121,1.8792,4285
2018010121,1.8542,4287
2018010121,1.3186,4288
2018010122,1.8145,4285
2018010122,1.7753,4287
2018010122,1.1548,4288
2018010123,0.9353,4288
2018010123,1.4576,4287
2018010123,1.455,4285
2018010124,1.4628,4285
2018010124,1.5076,4287
2018010124,0.9333,4288
2018010201,1.1094,4288
2018010201,1.54,4287
2018010201,1.6078,4285
2018010202,1.1159,4288
2018010202,1.6309,4287
2018010202,1.6048,4285
2018010203,1.2289,4288
2018010203,1.501,4287
2018010203,1.5791,4285
2018010204,1.993,4285
2018010204,1.9077,4287
2018010204,1.543,4288
2018010205,2.4771,4285
2018010205,2.3873,4287
2018010205,2.1171,4288
2018010206,2.5614,4288
2018010206,2.8222,4287
2018010206,2.92,4285
2018010207,2.8405,4288
2018010207,3.0134,4287
2018010207,3.098,4285
2018010208,3.1422,4285
2018010208,3.0523,4287
2018010208,2.8178,4288
2018010209,2.8524,4288
2018010209,3.09,4287
2018010209,3.15,4285
2018010210,3.0485,4288
2018010210,3.1147,4287
2018010210,3.1657,4285
2018010211,2.9122,4288
2018010211,3.0047,4287
2018010211,3.0521,4285
2018010212,2.7419,4288
2018010212,2.8188,4287
2018010212,2.8667,4285
2018010213,2.7263,4288
2018010213,2.8741,4287
2018010213,2.937,4285
2018010214,2.9494,4285
2018010214,2.8868,4287
2018010214,2.7321,4288
2018010215,2.6789,4288
2018010215,2.7853,4287
2018010215,2.8494,4285
2018010216,2.6718,4285
2018010216,2.6165,4287
2018010216,2.4986,4288
2018010217,2.5184,4285
2018010217,2.4641,4287
2018010217,2.3797,4288
2018010218,2.278,4288
2018010218,2.3969,4287
2018010218,2.4491,4285
2018010219,2.3855,4285
2018010219,2.3269,4287
2018010219,2.1472,4288
2018010220,2.2568,4285
2018010220,2.203,4287
2018010220,1.9318,4288
2018010221,2.3171,4285
2018010221,2.2728,4287
2018010221,1.767,4288
2018010222,2.2145,4285
2018010222,2.1677,4287
2018010222,1.7428,4288
2018010223,2.1319,4285
2018010223,2.0905,4287
2018010223,1.6325,4288
2018010224,2.0967,4285
2018010224,2.0504,4287
2018010224,1.5662,4288
2018010301,1.7425,4288
2018010301,2.2774,4287
2018010301,2.3284,4285
2018010302,2.4117,4285
2018010302,2.363,4287
2018010302,1.9349,4288
2018010303,2.1973,4288
2018010303,2.5511,4287
2018010303,2.6116,4285
2018010304,2.9504,4285
2018010304,2.8769,4287
2018010304,2.5283,4288
2018010305,3.1664,4285
2018010305,3.0877,4287
2018010305,2.735,4288
2018010306,3.1928,4288
2018010306,3.1575,4287
2018010306,3.246,4285
2018010307,3.2889,4285
2018010307,3.196,4287
2018010307,3.1597,4288
2018010308,3.2523,4285
2018010308,3.1569,4287
2018010308,2.8726,4288
2018010309,3.2423,4285
2018010309,3.1765,4287
2018010309,2.842,4288
2018010310,3.1691,4285
2018010310,3.0989,4287
2018010310,2.9693,4288
2018010311,2.7876,4288
2018010311,2.9377,4287
2018010311,2.9938,4285
2018010312,2.7162,4285
2018010312,2.6618,4287
2018010312,2.5204,4288
2018010313,2.6924,4285
2018010313,2.6398,4287
2018010313,2.485,4288
2018010314,2.5716,4285
2018010314,2.5215,4287
2018010314,2.3138,4288
